address,vested,award,unlockSchedule,lumpSumMonth
0x0001642bE5e16996B80CC2a092E21bC0F0BCe059,496000000000000000000,496000000000000000000,1,0
0x000164f99e42b66bC4A56bBa9F84598F0dc5A991,582000000000000000000,582000000000000000000,1,0
0x00016640A49355896b508E70CB12b8D8D9dB14bF,2166000000000000000000,2166000000000000000000,1,0
0x000166ED709Cf7C5Bd3ea45Ef52A75316B4ae639,500000000000000000000000,500000000000000000000000,1,30
0x000167076f0E311fC4cb02D60539f2e118a1A137,477000000000000000000,477000000000000000000,1,0
0x000167BEA40b04EEA54790b787932588D41f9590,6012000000000000000000,6012000000000000000000,1,0
0x00016A79f87B595ed90A9032A482bcD9B412654B,500000000000000000000000,500000000000000000000000,1,40
0x00016AfA8076BFdd3031D5A0Ac9ED0DF800fA5E1,340345935756136000000,340345935756136000000,1,0
0x00016BE040D6B0adE5146A638180780ddD7F9d67,952500000000000000000,952500000000000000000,1,0
0x000172d142aCA678518E350Cf63aF3d0BEcC7C68,777399254054039000000,777399254054039000000,1,0
0x0001755E0B4295975E1E8618Faa1849CA4c3CC56,1192500000000000000000,1192500000000000000000,1,0
0x00017589a54a25F16d3239AefB84ef7cF3079b46,1035000000000000000000,1035000000000000000000,1,0
0x0001759299E6D725d7BdAC5D8d45d6C87aA0c966,603648174876835000000,603648174876835000000,1,0
0x0001763C6E9B3b701853c0547408553bf9C516F9,200158499639174000000,200158499639174000000,1,0
0x0001769eb7Ad8A8eC6DdB3D90A9Ea66A7bD308f9,1533000000000000000000,1533000000000000000000,1,0
0x00017813b53FA5d8119FeFd29da5cF00005409DF,500000000000000000000000,500000000000000000000000,1,44
0x00017a051769E871A5384a5Ce96476fDcB8A227e,56600000000000000000,56600000000000000000,1,0
0x00017ce021eA321D48DAA27C35207A6e83AD5E9f,500000000000000000000000,500000000000000000000000,1,37
0x000181315760f58a6Af04B3524098f974C2C803f,1757813453871060000000,1757813453871060000000,1,0
0x00018159295F1FED79Cb7806Af73a5EDd4bd1941,25258659402797200000000,25258659402797200000000,1,0
0x000183F7d7d73D7a014e9b09d7d3B54310eba77C,195887500000000000000,195887500000000000000,1,0
0x00018a5A06De12Dbb6D1901362b9F0349d47D397,1003300000000000000000,1003300000000000000000,1,0
0x00018e51929bc678C19523874d95d830A6a3BC7E,1495500000000000000000,1495500000000000000000,1,0
0x000193fE15d8Bc6f7e2fd314975232b86C04C874,194361453688319000000,194361453688319000000,1,0
0x0001993089C2850dC07717c1D02762e5f2D65137,58000000000000000000,58000000000000000000,1,0
0x00019a1296e538F331ED9e7D26d611b42A6Da05C,500000000000000000000,500000000000000000000,2,
0x00019D8a3C43A88549f750a29f4e04F5f6397103,1057000000000000000000,1057000000000000000000,1,0
0x0001a064597E881EF0E5d59eB052ee3416160f26,236600000000000000000,236600000000000000000,1,0
0x0001A6b2Ec76615DD533f53E4697AcC18a350e2B,6003634837678750000000,6003634837678750000000,1,0
0x0001A8596666d39CA3D79d840643Edf2CB10B1d7,575600000000000000000,575600000000000000000,1,0
0x0001Aa4D7249e53258060725Bbf169D7FB71384c,667500000000000000000,667500000000000000000,1,0
0x0001aAca5F7F752D795980D52dD4561466FF31b8,93868724649628100000,93868724649628100000,1,0
